1987-09-05,10,0.238,0.974,10,-7.599,0,0.186,1.32e-05,0.783,0.69,0.158,84.662,238259,4,3226329,alternative rock
1987,8,0.127,0.922,11,-5.379,0,0.065,0.00135,0.002,0.587,0.21,185.755,250907,4,265019,alternative rock
1987-09-05,12,0.248,0.993,8,-3.489,0,0.0863,0.00734,0.487,0.355,0.369,152.218,274673,4,3226329,alternative rock
1987-09-05,10,0.319,0.998,11,-5.181,1,0.109,0.000102,0.81,0.162,0.0372,132.48,165413,4,3226329,alternative rock
1987-09-05,10,0.105,0.98,6,-6.244,1,0.214,3.33e-05,0.744,0.173,0.053,158.099,175284,4,3226329,alternative rock
1987-09-05,10,0.411,0.995,8,-5.584,1,0.0896,5.77e-05,0.594,0.682,0.14,136.932,320880,4,3226329,alternative rock
1987-09-05,11,0.213,0.997,10,-5.615,0,0.139,2.97e-05,0.791,0.182,0.134,145.778,306887,4,3226329,alternative rock
1987-09-05,10,0.256,0.996,6,-4.962,1,0.0882,1.08e-05,0.811,0.0909,0.238,141.764,276295,4,3226329,alternative rock
1987,7,0.35,0.941,11,-4.503,1,0.129,0.00771,0.31,0.516,0.598,115.891,161933,4,265019,alternative rock
1987,8,0.267,0.986,11,-5.204,0,0.205,0.00199,0.0196,0.42,0.417,131.081,289827,4,265019,alternative rock
1987,7,0.257,0.851,0,-9.88,1,0.0655,0.45,0.00644,0.518,0.528,173.578,217307,5,265019,alternative rock
1987,7,0.292,0.951,0,-4.806,1,0.0695,0.183,0.0429,0.848,0.749,123.81,163733,4,265019,alternative rock
1987,6,0.16,0.987,9,-5.987,0,0.201,0.000534,0.949,0.761,0.146,138.382,249867,4,265019,alternative rock
1987,7,0.17,0.99,2,-3.982,1,0.185,0.032,8.88e-06,0.553,0.399,181.223,97907,4,265019,alternative rock
1987,6,0.445,0.833,7,-6.404,1,0.0833,0.159,8.06e-06,0.339,0.344,117.631,201133,4,265019,alternative rock
1987,6,0.407,0.905,7,-5.503,1,0.0732,0.0176,4.45e-05,0.705,0.438,118.921,163093,4,265019,alternative rock
1987-09-05,9,0.175,0.996,6,-6.092,1,0.224,2.96e-05,0.883,0.701,0.0386,130.59,189741,4,3226329,alternative rock
1987,9,0.345,0.984,8,-8.119,1,0.0937,0.0586,0.0604,0.495,0.0404,129.118,236107,4,3226329,alternative rock
1987-09-05,8,0.119,0.996,10,-5.441,0,0.208,5.38e-06,0.855,0.103,0.074,180.121,138166,4,3226329,alternative rock
1987-09-05,9,0.112,0.995,1,-5.135,1,0.179,1.47e-05,0.785,0.327,0.0884,162.429,85531,4,3226329,alternative rock
1987-09-05,9,0.314,0.988,10,-5.353,0,0.136,1.09e-05,0.852,0.0646,0.224,124.239,243916,4,3226329,alternative rock
1987-09-05,9,0.395,0.933,1,-4.102,1,0.336,0.00451,2.75e-05,0.305,0.205,97.89,280093,4,3226329,alternative rock
1987-09-05,10,0.406,0.99,10,-7.01,0,0.0975,0.00862,0.00126,0.337,0.153,92.186,240594,4,3226329,alternative rock
1987-09-05,8,0.397,0.996,8,-7.252,1,0.0678,0.018,0.000589,0.186,0.0395,137.511,208773,4,3226329,alternative rock
1987-09-05,7,0.352,0.995,1,-7.429,1,0.0816,0.127,0.0297,0.407,0.205,102.496,184773,4,3226329,alternative rock
1987-09-05,8,0.463,0.996,1,-6.991,1,0.0453,0.232,0.00027,0.443,0.106,105.555,197600,4,3226329,alternative rock
1987-09-05,7,0.214,0.97,6,-7.508,1,0.0731,0.0258,3.63e-05,0.779,0.332,191.945,250960,4,3226329,alternative rock
1987-09-05,7,0.477,0.992,1,-2.383,1,0.212,0.0736,0.00227,0.136,0.0866,121.327,227520,4,3226329,alternative rock
1987-02-01,6,0.344,0.865,4,-12.394,1,0.0441,0.0196,0.00988,0.4,0.827,173.877,190733,4,6588,alternative rock
1987-11-30,20,0.294,0.907,4,-5.893,0,0.0529,8.98e-06,0.368,0.477,0.396,132.998,184587,4,1094117,alternative rock
1988-05-01,50,0.557,0.699,2,-11.625,0,0.0453,0.00793,0,0.536,0.887,129.492,158333,4,109926,alternative rock
1988-10-04,33,0.131,0.876,9,-9.837,0,0.0586,3.65e-05,0.72,0.12,0.0709,184.049,227800,4,896318,alternative rock
1988-10-11,30,0.131,0.876,9,-9.837,0,0.0586,3.65e-05,0.72,0.12,0.0709,184.049,227800,4,896318,alternative rock
1988-10-17,21,0.49,0.613,4,-13.781,1,0.0342,0.137,1.25e-05,0.148,0.925,151.66,272333,4,3497640,alternative rock
1988,20,0.312,0.652,2,-13.714,0,0.0305,0.225,0.0079,0.0974,0.588,111.023,225213,4,265854,alternative rock
1988-06-18,33,0.541,0.946,0,-4.174,1,0.0777,0.051,0.00129,0.132,0.837,171.722,298733,4,2464888,alternative rock
1988,16,0.438,0.675,9,-14.344,1,0.045,0.000308,0.000156,0.105,0.582,122.372,192160,4,243936,alternative rock
1988-09-11,10,0.405,0.942,4,-6.23,1,0.0678,0.00969,0.0127,0.35,0.478,131.809,189793,4,177951,alternative rock
1988-10-04,14,0.2,0.953,0,-7.795,1,0.103,0.284,0.00413,0.692,0.105,90.291,258960,4,896318,alternative rock
1988,13,0.218,0.864,1,-10.932,1,0.0675,1.73e-06,0.952,0.0891,0.246,116.843,80707,4,264839,alternative rock
1988-04-05,11,0.348,0.542,8,-13.906,1,0.129,0.278,0.000152,0.405,0.264,112.772,176440,4,896318,alternative rock
1988,11,0.22,0.866,11,-14.687,0,0.0935,2e-06,0.962,0.299,0.23,113.479,81880,3,264839,alternative rock
1988,6,0.465,0.833,9,-8.018,1,0.0504,0.385,2.27e-05,0.363,0.842,188.26,184640,4,75740,alternative rock
1988-02-14,27,0.749,0.797,2,-8.444,1,0.0436,0.131,0.00288,0.116,0.564,126.68,184093,4,312441,alternative rock
1988-02-14,26,0.556,0.937,10,-8.839,0,0.0437,0.0438,0.0206,0.361,0.605,137.296,183520,4,312441,alternative rock
1988-02-14,22,0.746,0.705,2,-11.672,0,0.039,0.152,0.101,0.0922,0.918,126.824,181893,4,312441,alternative rock
1988-01-01,0,0.331,0.901,7,-9.831,1,0.0494,0.0025,0.0851,0.29,0.678,169.921,181799,4,25683,alternative rock
1988-09-01,0,0.367,0.282,7,-17.848,1,0.0375,0.782,8.63e-06,0.233,0.26,104.364,163453,4,1790,alternative rock
1988,5,0.465,0.918,4,-12.733,0,0.0507,0.00297,0,0.119,0.253,102.727,138973,4,10182,alternative rock
1988,0,0.483,0.366,0,-17.731,1,0.074,0.398,5.63e-05,0.234,0.615,146.217,310000,4,8253,alternative rock
1988-02-14,14,0.764,0.593,5,-10.608,1,0.0475,0.106,0.00603,0.214,0.884,118.585,229880,4,312441,alternative rock
1988-02-14,14,0.644,0.759,0,-8.902,1,0.0849,0.159,2.12e-05,0.28,0.628,130.148,175760,4,312441,alternative rock
1988-02-14,16,0.452,0.924,9,-8.947,1,0.0616,0.215,0.0337,0.259,0.357,165.818,154787,4,312441,alternative rock
